3,3,30,1
4,3,40,1
5,3,50,1
7,3,60,1
8,3,70,1
9,3,86,1
10,3,96,1
12,3,100,1
13,3,56,1
15,3,36,1
16,3,26,1
17,3,46,1
18,3,76,1
19,3,66,1
21,3,86,1
22,3,96,1
23,3,16,1
24,3,36,1
25,3,26,1
27,3,46,1
29,3,66,1
30,3,56,1
31,3,76,1
32,3,86,1
33,3,96,1
34,3,100,1
35,3,100,1
3,4,30,2
4,4,40,2
5,4,50,2
7,4,60,2
8,4,70,2
9,4,86,2
10,4,96,2
12,4,100,2
13,4,56,2
15,4,36,2
16,4,26,2
17,4,46,2
18,4,76,2
19,4,66,2
21,4,86,2
22,4,96,2
23,4,16,2
24,4,36,2
25,4,26,2
27,4,46,2
29,4,66,2
30,4,56,2
31,4,76,2
32,4,86,2
33,4,96,2
34,4,100,2
35,4,100,2
3,5,30,6
4,5,40,6
5,5,50,6
7,5,60,6
8,5,70,6
9,5,86,6
10,5,96,6
12,5,100,6
13,5,56,6
15,5,36,6
16,5,26,6
17,5,46,6
18,5,76,6
19,5,66,6
21,5,86,6
22,5,96,6
23,5,16,6
24,5,36,6
25,5,26,6
27,5,46,6
29,5,66,6
30,5,56,6
31,5,76,6
32,5,86,6
33,5,96,6
34,5,100,6
35,5,100,6
3,7,30,11
4,7,40,11
5,7,50,11
7,7,60,11
8,7,70,11
9,7,86,11
10,7,96,11
12,7,100,11
13,7,56,11
15,7,36,11
16,7,26,11
17,7,46,11
18,7,76,11
19,7,66,11
21,7,86,11
22,7,96,11
23,7,16,11
24,7,36,11
25,7,26,11
27,7,46,11
29,7,66,11
30,7,56,11
31,7,76,11
32,7,86,11
33,7,96,11
34,7,100,11
35,7,100,11
3,8,30,14
4,8,40,14
5,8,50,14
7,8,60,14
8,8,70,14
9,8,86,14
10,8,96,14
12,8,100,14
13,8,56,14
15,8,36,14
16,8,26,14
17,8,46,14
18,8,76,14
19,8,66,14
21,8,86,14
22,8,96,14
23,8,16,14
24,8,36,14
25,8,26,14
27,8,46,14
29,8,66,14
30,8,56,14
31,8,76,14
32,8,86,14
33,8,96,14
34,8,100,14
35,8,100,14
3,9,30,20
4,9,40,20
5,9,50,20
7,9,60,20
8,9,70,20
9,9,86,20
10,9,96,20
12,9,100,20
13,9,56,20
15,9,36,20
16,9,26,20
17,9,46,20
18,9,76,20
19,9,66,20
21,9,86,20
22,9,96,20
23,9,16,20
24,9,36,20
25,9,26,20
27,9,46,20
29,9,66,20
30,9,56,20
31,9,76,20
32,9,86,20
33,9,96,20
34,9,100,20
35,9,100,20
3,10,30,26
4,10,40,26
5,10,50,26
7,10,60,26
8,10,70,26
9,10,86,26
10,10,96,26
12,10,100,26
13,10,56,26
15,10,36,26
16,10,26,26
17,10,46,26
18,10,76,26
19,10,66,26
21,10,86,26
22,10,96,26
23,10,16,26
24,10,36,26
25,10,26,26
27,10,46,26
29,10,66,26
30,10,56,26
31,10,76,26
32,10,86,26
33,10,96,26
34,10,100,26
35,10,100,26
3,12,30,28
4,12,40,28
5,12,50,28
7,12,60,28
8,12,70,28
9,12,86,28
10,12,96,28
12,12,100,28
13,12,56,28
15,12,36,28
16,12,26,28
17,12,46,28
18,12,76,28
19,12,66,28
21,12,86,28
22,12,96,28
23,12,16,28
24,12,36,28
25,12,26,28
27,12,46,28
29,12,66,28
30,12,56,28
31,12,76,28
32,12,86,28
33,12,96,28
34,12,100,28
35,12,100,28
3,13,30,36
4,13,40,36
5,13,50,36
7,13,60,36
8,13,70,36
9,13,86,36
10,13,96,36
12,13,100,36
13,13,56,36
15,13,36,36
16,13,26,36
17,13,46,36
18,13,76,36
19,13,66,36
21,13,86,36
22,13,96,36
23,13,16,36
24,13,36,36
25,13,26,36
27,13,46,36
29,13,66,36
30,13,56,36
31,13,76,36
32,13,86,36
33,13,96,36
34,13,100,36
35,13,100,36
3,15,30,1
4,15,40,1
5,15,50,1
7,15,60,1
8,15,70,1
9,15,86,1
10,15,96,1
12,15,100,1
13,15,56,1
15,15,36,1
16,15,26,1
17,15,46,1
18,15,76,1
19,15,66,1
21,15,86,1
22,15,96,1
23,15,16,1
24,15,36,1
25,15,26,1
27,15,46,1
29,15,66,1
30,15,56,1
31,15,76,1
32,15,86,1
33,15,96,1
34,15,100,1
35,15,100,1
3,16,30,2
4,16,40,2
5,16,50,2
7,16,60,2
8,16,70,2
9,16,86,2
10,16,96,2
12,16,100,2
13,16,56,2
15,16,36,2
16,16,26,2
17,16,46,2
18,16,76,2
19,16,66,2
21,16,86,2
22,16,96,2
23,16,16,2
24,16,36,2
25,16,26,2
27,16,46,2
29,16,66,2
30,16,56,2
31,16,76,2
32,16,86,2
33,16,96,2
34,16,100,2
35,16,100,2
3,1,30,6
4,1,40,6
5,1,50,6
7,1,60,6
8,1,70,6
9,1,86,6
10,1,96,6
12,1,100,6
13,1,56,6
15,1,36,6
16,1,26,6
17,1,46,6
18,1,76,6
19,1,66,6
21,1,86,6
22,1,96,6
23,1,16,6
24,1,36,6
25,1,26,6
27,1,46,6
29,1,66,6
30,1,56,6
31,1,76,6
32,1,86,6
33,1,96,6
34,1,100,6
35,1,100,6
3,2,30,11
4,2,40,11
5,2,50,11
7,2,60,11
8,2,70,11
9,2,86,11
10,2,96,11
12,2,100,11
13,2,56,11
15,2,36,11
16,2,26,11
17,2,46,11
18,2,76,11
19,2,66,11
21,2,86,11
22,2,96,11
23,2,16,11
24,2,36,11
25,2,26,11
27,2,46,11
29,2,66,11
30,2,56,11
31,2,76,11
32,2,86,11
33,2,96,11
34,2,100,11
35,2,100,11
3,6,30,14
4,6,40,14
5,6,50,14
7,6,60,14
8,6,70,14
9,6,86,14
10,6,96,14
12,6,100,14
13,6,56,14
15,6,36,14
16,6,26,14
17,6,46,14
18,6,76,14
19,6,66,14
21,6,86,14
22,6,96,14
23,6,16,14
24,6,36,14
25,6,26,14
27,6,46,14
29,6,66,14
30,6,56,14
31,6,76,14
32,6,86,14
33,6,96,14
34,6,100,14
35,6,100,14
3,11,30,20
4,11,40,20
5,11,50,20
7,11,60,20
8,11,70,20
9,11,86,20
10,11,96,20
12,11,100,20
13,11,56,20
15,11,36,20
16,11,26,20
17,11,46,20
18,11,76,20
19,11,66,20
21,11,86,20
22,11,96,20
23,11,16,20
24,11,36,20
25,11,26,20
27,11,46,20
29,11,66,20
30,11,56,20
31,11,76,20
